***************************
 LISFLOOD-FP version 5.99.0
***************************

 This is a modified version 5.9 including Basic Model Interface (BMI) compatibility

***************************

 The model needs therefore be executed accordingly!

***************************

Loading parameters... 
Using acceleration formulation for floodplain flow
Using acceleration formulation for floodplain flow
Reading parameters done.


Start Date: 9/8/2026 
Start Time: 17:10:41 


Loading DEM:	mahanadi.asc
1312x973
BL corner	(440847.597798,2130377.223441)
NODATA_value	-9999.000000
Done.

Loading channel information:	mahanadi.river
1 Channel Segment
377 points in channel segment 0
Xsec  351	w=3891.710 n=0.035 z= 9.451
Xsec  352	w=3896.130 n=0.035 z= 9.153
Xsec  353	w=3900.540 n=0.035 z= 8.800
Xsec  354	w=3904.940 n=0.035 z= 8.369
Xsec  355	w=3909.340 n=0.035 z= 8.325
Xsec  356	w=3913.730 n=0.035 z= 8.134
Xsec  357	w=3918.110 n=0.035 z= 7.358
Xsec  358	w=3922.480 n=0.035 z= 6.893
Xsec  359	w=3926.850 n=0.035 z= 6.169
Xsec  360	w=3931.210 n=0.035 z= 5.682
Xsec  361	w=3935.560 n=0.035 z= 5.072
Xsec  362	w=3939.910 n=0.035 z= 4.133
Xsec  363	w=3944.250 n=0.035 z= 3.336
Xsec  364	w=3948.580 n=0.035 z= 2.878
Xsec  365	w=3952.900 n=0.035 z= 2.448
Xsec  366	w=3957.220 n=0.035 z= 2.164
Xsec  367	w=3961.530 n=0.035 z= 1.755
Xsec  368	w=3965.830 n=0.035 z= 1.493
Xsec  369	w=3970.120 n=0.035 z= 1.321
Xsec  370	w=3974.410 n=0.035 z= 1.233
Xsec  371	w=3978.690 n=0.035 z= 1.009
Xsec  372	w=3982.970 n=0.035 z= 0.791
Xsec  373	w=3987.240 n=0.035 z= 0.578
Xsec  374	w=3991.500 n=0.035 z= 0.519
Xsec  375	w=3995.750 n=0.035 z= 0.512
Xsec  376	w=4000.000 n=0.035 z= 0.500
Xsec  376	FREE using end slope
Channel data read for segment 0 - interpolating values.
Cell size independent channel chainage calculations are ON.
Done.

Smoothing bank cells with tolerance:	1.000000m	
Smoothing bank cells done.

Loading time varying boundary conditions:	mahanadi.bdy
bdy mahanadi_inflow read.
Done.

Porosity off
Weirs off

Starting time steps: acceleration mode

Finished.


Finish Date: 9/8/2026 
Finish Time: 20:19:20 


  Total computation time: 188.63 mins

